,id,date_created,no_of_likes,no_of_reply,source,tweets,url,username,location
0,1561737743931146240,2022-08-22 15:31:08+00:00,2,0,Twitter for iPhone,"Credit: Instagram| funkejenifaakindele

--
Follow us for more breaking news and videos

#funkeakindele #pdp #birthday #punchnewspapers",https://twitter.com/MobilePunch/status/1561737743931146240,MobilePunch,"Lagos, Nigeria"
1,1561737740395454465,2022-08-22 15:31:07+00:00,6,1,Twitter for iPhone,"In a TikTok video that she posted on her Instagram page on Monday, the Peoples Democratic Party deputy governorship candidate in Lagos was seen dancing to a praise song.
 
‘’I will be 45 years old in few days,"" she captioned the video.",https://twitter.com/MobilePunch/status/1561737740395454465,MobilePunch,"Lagos, Nigeria"
2,1561737735412621313,2022-08-22 15:31:06+00:00,24,1,Twitter for iPhone,"Funke Akindele Excited About 45th Birthday
 
Nollywood actress, Finke Akindele, on Monday, revealed her excitement at the fact that she will be turning 45 years old in a few days. https://t.co/2EKlST8dix",https://twitter.com/MobilePunch/status/1561737735412621313,MobilePunch,"Lagos, Nigeria"
3,1561736129560428545,2022-08-22 15:24:43+00:00,15,1,Echobox,APC chieftain seeks appointment of more judges - Punch Newspapers https://t.co/iRItEn28bV,https://twitter.com/MobilePunch/status/1561736129560428545,MobilePunch,"Lagos, Nigeria"
4,1561734896120463366,2022-08-22 15:19:49+00:00,84,1,Echobox,"Vote out bad leaders, LP chieftain urges youths https://t.co/YFMRjgf74F",https://twitter.com/MobilePunch/status/1561734896120463366,MobilePunch,"Lagos, Nigeria"
5,1561733815436984328,2022-08-22 15:15:31+00:00,13,0,Echobox,"We dread contracting monkeypox, others with Lagos hospitals’ neglect of COVID safety measures –Patients https://t.co/Hjjfy8TGCo",https://twitter.com/MobilePunch/status/1561733815436984328,MobilePunch,"Lagos, Nigeria"
6,1561730047521824768,2022-08-22 15:00:33+00:00,8,0,Twitter for iPhone,"An eyewitness said firefighters were on the ground.
 
Credit: Anozie Egole

--
Follow us for more breaking news and videos

#fireaccident #lagosstate #Idumagbo #punchnewspapers",https://twitter.com/MobilePunch/status/1561730047521824768,MobilePunch,"Lagos, Nigeria"
7,1561730042987745280,2022-08-22 15:00:32+00:00,48,11,Twitter for iPhone,"Fire Guts Two-Storey Building In Lagos
 
A two-storey building in the Idumagbo area of Lagos State was  gutted by fire on Monday.
 
The cause of the fire accident is yet to be confirmed as of the time of filing this report. https://t.co/P2kogBNCev",https://twitter.com/MobilePunch/status/1561730042987745280,MobilePunch,"Lagos, Nigeria"
8,1561728736105566208,2022-08-22 14:55:20+00:00,36,1,Echobox,Benue police arrest man for destroying PDP billboards - Punch Newspapers https://t.co/nZ6MdgjQSm,https://twitter.com/MobilePunch/status/1561728736105566208,MobilePunch,"Lagos, Nigeria"
9,1561726628350242816,2022-08-22 14:46:58+00:00,131,5,Echobox,NBA conference: Adiche gathers N3.2m for female footballers https://t.co/R6F4ahKxL2,https://twitter.com/MobilePunch/status/1561726628350242816,MobilePunch,"Lagos, Nigeria"
